time,ram,name_of_query
97.588348,30624,DELETE_MySQL
190.650868,30680,DELETE_MySQL
280.197688,30860,DELETE_MySQL
371.267405,30716,DELETE_MySQL
464.124379,40660,DELETE_MySQL
258.891235,30624,UPDATE_MySQL
517.237498,30672,UPDATE_MySQL
782.916025,30680,UPDATE_MySQL
1069.350939,30684,UPDATE_MySQL
1321.023683,30708,UPDATE_MySQL
0.075600,30640,INSERT_MySQL
0.057758,30668,INSERT_MySQL
0.084530,30668,INSERT_MySQL
0.077084,30640,INSERT_MySQL
0.069426,30640,INSERT_MySQL
0.336191,30908,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.317979,30920,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.313085,30924,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.316883,30972,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.313719,42112,BUSCA_SEM_INDEX_CHAVE_PRIMARIA_MySQL
0.354553,43580,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.316235,36208,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.314111,44524,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.345916,30936,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.316117,32560,BUSCA_HASH_CHAVE_PRIMARIA_MySQL
0.333964,30900,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.316332,30912,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.316174,30936,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.317208,30912,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.317021,30920,BUSCA_HASH_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.345403,32352,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.318740,30960,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.317377,30904,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.318055,30944,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
0.318612,30920,BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL
392.121747,533252,BUSCA_SEM_INDEX_COM_LIKE_MySQL
394.472279,533300,BUSCA_SEM_INDEX_COM_LIKE_MySQL
392.721314,533372,BUSCA_SEM_INDEX_COM_LIKE_MySQL
394.270424,533300,BUSCA_SEM_INDEX_COM_LIKE_MySQL
392.596677,533356,BUSCA_SEM_INDEX_COM_LIKE_MySQL
393.156520,533292,BUSCA_HASH_COM_LIKE_MySQL
423.243031,533344,BUSCA_HASH_COM_LIKE_MySQL
394.915621,533308,BUSCA_HASH_COM_LIKE_MySQL
393.263212,533276,BUSCA_HASH_COM_LIKE_MySQL
392.335365,533356,BUSCA_HASH_COM_LIKE_MySQL
391.484075,533260,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
394.779741,533400,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
392.414639,533340,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
393.119012,533292,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
393.438388,533352,BUSCA_HASH_INDEX_NAO_IDEAL_COM_LIKE_MySQL
391.830474,533288,BUSCA_B_PLUS_COM_LIKE_MySQL
390.947484,533328,BUSCA_B_PLUS_COM_LIKE_MySQL
390.948500,533284,BUSCA_B_PLUS_COM_LIKE_MySQL
391.433411,533272,BUSCA_B_PLUS_COM_LIKE_MySQL
391.076775,533352,BUSCA_B_PLUS_COM_LIKE_MySQL
392.023483,533292,BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL
