tipo_de_consulta,contagem_tempo,media_tempo_segundos,desvio_padrao_tempo,tempo_minimo_segundos,tempo_maximo_segundos,mediana_tempo_segundos,media_ram_kb,desvio_padrao_ram,ram_minima_kb,ram_maxima_kb,mediana_ram_kb
BUSCA_B_PLUS_AGRUPAMENTOS_MySQL,20,473.9918993,16.112700608209877,451.555429,492.47373,474.134759,1664943.2,1658.8034241584414,1663320,1666560,1664944.0
BUSCA_B_PLUS_COM_LIKE_MySQL,20,29.0700938,2.451770947979304,25.917605,31.549464,30.4254625,859654.8,7984.502051507432,846464,866560,863320.0
BUSCA_B_PLUS_COM_SUBCONSULTAS_MySQL,20,9.51799045,1.3536309962243065,5.7918,10.694186,9.872428,859654.8,7984.502051507431,846464,866560,863320.0
BUSCA_B_PLUS_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL,20,477.8570073,16.935024082914897,451.90893,498.383207,477.859033,1664943.2,1658.8034241584414,1663320,1666560,1664944.0
BUSCA_B_PLUS_INDEX_NAO_IDEAL_CHAVE_PRIMARIA_MySQL,20,0.03589525,0.0111581493130404,0.025566,0.062799,0.032928,33337.3,2074.087880694091,30280,35896,33361.0
BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_LIKE_MySQL,20,28.97924975,2.46271312185618,25.879551,31.398784,30.3469165,859654.8,7984.502051507432,846464,866560,863320.0
BUSCA_B_PLUS_INDEX_NAO_IDEAL_COM_SUBCONSULTAS_MySQL,20,8.73615255,1.513948080448234,4.602936,10.034223,9.0679575,859654.8,7984.502051507431,846464,866560,863320.0
BUSCA_B_PLUS_INDEX_NAO_IDEAL_JUNCOES_MySQL,20,63.035102900000005,2.449304032618905,59.910391,66.374901,63.028562,1664943.2,1658.8034241584414,1663320,1666560,1664944.0
BUSCA_B_PLUS_INDEX_NAO_IDEAL_NAO_CHAVE_PRIMARIAS_MySQL,20,10.800169,0.9629168059377552,9.110724,11.757188,11.1158715,1664752.8,1902.001427859315,1661888,1666560,1664944.0
BUSCA_B_PLUS_JUNCOES_MySQL,20,64.2202275,2.420450803495382,61.039223,67.389636,64.1099155,1664943.2,1658.8034241584414,1663320,1666560,1664944.0
BUSCA_B_PLUS_NAO_CHAVE_PRIMARIAS_MySQL,20,6.1363515,0.5601935125583601,5.006026,6.733663,6.2751555,1664752.8,1902.001427859315,1661888,1666560,1664944.0
BUSCA_HASH_AGRUPAMENTOS_MySQL,20,472.7746168,20.6299568911863,449.450612,503.846314,472.058341,1664943.2,1658.8034241584414,1663320,1666560,1664944.0
BUSCA_HASH_CHAVE_PRIMARIA_MySQL,20,0.0356778,0.0085917964214341,0.027623,0.062659,0.033432,31499.8,1177.2751590006471,30280,33480,31580.0
BUSCA_HASH_COM_LIKE_MySQL,20,29.00238265,2.4484140175449864,25.870986,31.307933,30.6103495,830597.8,11424.3284063809,811326,846464,824420.0
BUSCA_HASH_COM_SUBCONSULTAS_MySQL,20,10.08460365,0.6437316345768442,9.223092,10.85127,10.080641,859654.8,7984.502051507431,846464,866560,863320.0
BUSCA_HASH_INDEX_NAO_IDEAL_AGRUPAMENTOS_MySQL,20,474.6624384,20.02337811427124,451.631171,497.024631,476.2974655,1664943.2,1658.8034241584414,1663320,1666560,1664944.0
